Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,112.82,113.13,110.21,110.38,41403400,109.94608
2014-12-30,113.64,113.92,112.11,112.52,29881500,112.07767
2014-12-29,113.79,114.77,113.70,113.91,27598900,113.46221
2014-12-26,112.10,114.52,112.01,113.99,33721000,113.54189
2014-12-24,112.58,112.71,112.01,112.01,14479600,111.56968
2014-12-23,113.23,113.33,112.46,112.54,26028400,112.0976
2014-12-22,112.16,113.49,111.97,112.94,45167500,112.49603
2014-12-19,112.26,113.24,111.66,111.78,88429800,111.34058
2014-12-18,111.87,112.65,110.66,112.65,59006200,112.20716
2014-12-17,107.12,109.84,106.82,109.41,53411800,108.9799
2014-12-16,106.37,110.16,106.26,106.75,60790700,106.33035
2014-12-15,110.70,111.60,106.35,108.23,67218100,107.80454
2014-12-12,110.46,111.87,109.58,109.73,56028100,109.29865
2014-12-11,112.26,113.80,111.34,111.62,41401700,111.18121
2014-12-10,114.41,114.85,111.54,111.95,44565300,111.50991
2014-12-09,110.19,114.30,109.35,114.12,60208000,113.67139
2014-12-08,114.10,114.65,111.62,112.40,57664900,111.95815
2014-12-05,115.99,116.08,114.64,115.00,38318900,114.54792
2014-12-04,115.77,117.20,115.29,115.49,42044500,115.036
2014-12-03,115.75,116.35,115.11,115.93,43063400,115.47427
2014-12-02,113.50,115.75,112.75,114.63,59075100,114.17937
2014-12-01,118.81,119.25,111.27,115.07,83814000,114.61765
2014-11-28,119.27,119.40,118.05,118.93,24814400,118.46247
2014-11-26,117.94,119.10,117.83,119.00,40768300,118.5322
2014-11-25,119.07,119.75,117.45,117.60,68840400,117.1377
2014-11-24,116.85,118.77,116.62,118.63,47450800,118.16365
2014-11-21,117.51,117.57,116.03,116.47,57179300,116.01215
2014-11-20,114.91,116.86,114.85,116.31,43395500,115.85277
2014-11-19,115.44,115.74,113.80,114.67,41869200,114.21922
2014-11-18,113.94,115.69,113.89,115.47,44224000,115.01608
2014-11-17,114.27,117.28,113.30,113.99,46746700,113.54189
2014-11-14,113.15,114.19,113.05,114.18,44063600,113.73115
2014-11-13,111.80,113.45,111.60,112.82,59522900,112.3765
2014-11-12,109.38,111.43,109.37,111.25,46942400,110.81267
2014-11-11,108.70,109.75,108.40,109.70,27442300,109.26875
2014-11-10,109.02,109.33,108.67,108.83,27195500,108.40218
2014-11-07,108.75,109.32,108.55,109.01,33691500,108.58147
2014-11-06,108.60,108.79,107.80,108.70,34968500,108.27268
2014-11-05,109.10,109.30,108.13,108.86,37435900,107.96391
2014-11-04,109.36,109.49,107.72,108.60,41574400,107.70605
2014-11-03,108.22,110.30,108.01,109.40,52282600,108.49947
2014-10-31,108.01,108.04,107.21,108.00,44639300,107.11099
2014-10-30,106.96,107.35,105.90,106.98,40654800,106.09939
2014-10-29,106.65,107.37,106.36,107.34,52687900,106.45642
2014-10-28,105.40,106.74,105.35,106.74,47939900,105.86136
2014-10-27,104.85,105.48,104.70,105.11,34187700,104.24478
2014-10-24,105.18,105.49,104.53,105.22,47053900,104.35387
2014-10-23,104.08,105.05,103.63,104.83,71074700,103.96709
2014-10-22,102.84,104.11,102.60,102.99,68263100,102.14223
2014-10-21,103.02,103.02,101.27,102.47,94623900,101.62651
2014-10-20,98.32,99.96,98.22,99.76,77517300,98.93882
2014-10-17,97.50,99.00,96.81,97.67,68179700,96.86602
2014-10-16,95.55,97.72,95.41,96.26,72154500,95.46763
2014-10-15,97.97,99.15,95.18,97.54,100933600,96.73709
2014-10-14,100.39,100.52,98.57,98.75,63688600,97.93713
2014-10-13,101.33,101.78,99.81,99.81,53583400,98.9884
2014-10-10,100.69,102.03,100.30,100.73,66331600,99.90083
2014-10-09,101.54,102.38,100.61,101.02,77376500,100.18845
2014-10-08,98.76,101.11,98.31,100.80,57404700,99.97026
2014-10-07,99.43,100.12,98.73,98.75,42094200,97.93713
2014-10-06,99.95,100.65,99.42,99.62,37051200,98.79997
2014-10-03,99.44,100.21,99.04,99.62,43469600,98.79997
2014-10-02,99.27,100.22,98.04,99.90,47757800,99.07767
2014-10-01,100.59,100.69,98.70,99.18,51491300,98.36359
